"id","inoc","n_trt","p_trt","block","ind","tla_cm2","chl_area_cm2","focal_area_cm2","pfraction_area_cm2"
"YI_0N_62P_B1_084","YI","0",62,"B1","084",NA,NA,NA,NA
"YI_0N_62P_B2_085","YI","0",62,"B2","085",NA,3.85,5.284,4.567
"YI_0N_93P_B3_086","YI","0",93,"B3","086",12.28,2.17,2.41,2.29
"YI_0N_93P_B4_087","YI","0",93,"B4","087",NA,5.263,1.289,3.276
"YI_0N_93P_B1_088","YI","0",93,"B1","088",89.6955,21.85,23.227,22.5385
"YI_0N_93P_B2_089","YI","0",93,"B2","089",NA,2.153,3.535,2.844
"YI_0N_93P_B3_090","YI","0",93,"B3","090",70.093,12.447,13.195,12.821
"YI_210N_0P_B4_091","YI","210",0,"B4","091",NA,NA,NA,NA
"YI_210N_0P_B1_092","YI","210",0,"B1","092",489.3725,36.994,40.581,38.7875
"YI_210N_0P_B2_093","YI","210",0,"B2","093",127.2675,9.115,12.73,10.9225
"YI_210N_0P_B3_094","YI","210",0,"B3","094",NA,NA,NA,NA
"YI_210N_0P_B4_095","YI","210",0,"B4","095",352.1725,23.667,33.208,28.4375
"YI_210N_7.5P_B1_096","YI","210",7.5,"B1","096",609.8715,31.121,41.34,36.2305
"YI_210N_7.5P_B2_097","YI","210",7.5,"B2","097",1110.023,169.099,186.063,177.581
"YI_210N_7.5P_B3_098","YI","210",7.5,"B3","098",571.419,41.599,50.587,46.093
"YI_210N_7.5P_B4_099","YI","210",7.5,"B4","099",499.958,35.179,43.193,39.186
"YI_210N_7.5P_B1_100","YI","210",7.5,"B1","100",1302.4725,242.925,279.39,261.1575
"YI_210N_15P_B2_101","YI","210",15,"B2","101",1510.6735,245.589,293.32,269.4545
"YI_210N_15P_B3_102","YI","210",15,"B3","102",332.5465,27.906,30.185,29.0455
"YI_210N_15P_B4_103","YI","210",15,"B4","103",562.152,48.719,64.249,56.484
"YI_210N_15P_B1_104","YI","210",15,"B1","104",556.8975,38.152,45.893,42.0225
"YI_210N_15P_B2_105","YI","210",15,"B2","105",682.2675,43.807,59.318,51.5625
"YI_210N_31P_B3_106","YI","210",31,"B3","106",607.0405,37.786,41.841,39.8135
"YI_210N_31P_B4_107","YI","210",31,"B4","107",362.514,28.664,34.212,31.438
"YI_210N_31P_B1_108","YI","210",31,"B1","108",521.64,27.558,32.722,30.14
"YI_210N_31P_B2_109","YI","210",31,"B2","109",922.149,158.547,195.599,177.073
"YI_210N_31P_B3_110","YI","210",31,"B3","110",531.922,46.346,61.742,54.044
"YI_210N_62P_B4_111","YI","210",62,"B4","111",597.0105,52.374,67.153,59.7635
"YI_210N_62P_B1_112","YI","210",62,"B1","112",824.706,60.675,67.349,64.012
"YI_210N_62P_B2_113","YI","210",62,"B2","113",665.357,32.622,36.416,34.519
"YI_210N_62P_B3_114","YI","210",62,"B3","114",416.001,26.65,32.564,29.607
"YI_210N_62P_B4_115","YI","210",62,"B4","115",294.751,20.921,29.133,25.027
"YI_210N_93P_B1_116","YI","210",93,"B1","116",829.8595,164.053,164.52,164.2865
"YI_210N_93P_B2_117","YI","210",93,"B2","117",526.4175,35.846,47.399,41.6225
"YI_210N_93P_B3_118","YI","210",93,"B3","118",143.0705,13.745,20.302,17.0235
"YI_210N_93P_B4_119","YI","210",93,"B4","119",530.95,45.426,63.134,54.28
"YI_210N_93P_B4_120","YI","210",93,"B4","120",376.912,20.872,30.096,25.484
