"id","inoc","n_trt","p_trt","block","ind","tla_cm2","chl_area_cm2","focal_area_cm2","pfraction_area_cm2"
"NI_0N_0P_B1_001","NI","0",0,"B1","001",163.594,15.125,20.651,17.888
"NI_0N_0P_B2_002","NI","0",0,"B2","002",114.9245,11.627,15.716,13.6715
"NI_0N_0P_B3_003","NI","0",0,"B3","003",76.375,8.217,9.093,8.655
"NI_0N_0P_B4_004","NI","0",0,"B4","004",NA,11.533,15.95,13.7415
"NI_0N_0P_B1_005","NI","0",0,"B1","005",249.385,64.82,65.43,65.125
"NI_0N_7.5P_B2_006","NI","0",7.5,"B2","006",14.1285,3.367,4.312,3.8395
"NI_0N_7.5P_B3_007","NI","0",7.5,"B3","007",71.4425,19.772,22.863,21.3175
"NI_0N_7.5P_B4_008","NI","0",7.5,"B4","008",74.4705,23.625,21.662,22.6435
"NI_0N_7.5P_B1_009","NI","0",7.5,"B1","009",43.246,10.498,12.686,11.592
"NI_0N_7.5P_B2_010","NI","0",7.5,"B2","010",240.2595,48.954,65.359,57.1565
"NI_0N_15P_B3_011","NI","0",15,"B3","011",171.4105,18.895,23.292,21.0935
"NI_0N_15P_B4_012","NI","0",15,"B4","012",56.742,3.245,3.383,3.314
"NI_0N_15P_B1_013","NI","0",15,"B1","013",151.2555,22.363,27.834,25.0985
"NI_0N_15P_B2_014","NI","0",15,"B2","014",52.7675,5.98,7.385,6.6825
"NI_0N_15P_B3_015","NI","0",15,"B3","015",140.598,16.675,18.357,17.516
"NI_0N_31P_B4_016","NI","0",31,"B4","016",15.008,2.123,3.129,2.626
"NI_0N_31P_B1_017","NI","0",31,"B1","017",18.11,4.614,5.646,5.13
"NI_0N_31P_B2_018","NI","0",31,"B2","018",64.868,3.505,5.107,4.306
"NI_0N_31P_B3_019","NI","0",31,"B3","019",15.0295,1.593,2,1.7965
"NI_0N_31P_B4_020","NI","0",31,"B4","020",100.037,10.869,15.429,13.149
"NI_0N_62P_B1_021","NI","0",62,"B1","021",17.8435,2.156,2.773,2.4645
"NI_0N_62P_B2_022","NI","0",62,"B2","022",19.6785,2.105,2.534,2.3195
"NI_0N_62P_B3_023","NI","0",62,"B3","023",NA,NA,NA,NA
"NI_0N_62P_B4_024","NI","0",62,"B4","024",32.292,8.637,11.311,9.974
"NI_0N_62P_B1_025","NI","0",62,"B1","025",74.6145,12.225,14.038,13.1315
"NI_0N_93P_B2_026","NI","0",93,"B2","026",16.065,3.146,3.404,3.275
"NI_0N_93P_B3_027","NI","0",93,"B3","027",20.639,1.8,2.266,2.033
"NI_0N_93P_B4_028","NI","0",93,"B4","028",28.982,4.773,5.415,5.094
"NI_0N_93P_B1_029","NI","0",93,"B1","029",16.678,0.827,0.885,0.856
"NI_0N_93P_B2_030","NI","0",93,"B2","030",NA,0.706,0.813,0.7595
"NI_210N_0P_B3_031","NI","210",0,"B3","031",605.6465,47.928,56.123,52.0255
"NI_210N_0P_B4_032","NI","210",0,"B4","032",468.077,27.553,35.505,31.529
"NI_210N_0P_B1_033","NI","210",0,"B1","033",609.6145,43.521,52.962,48.2415
"NI_210N_0P_B2_034","NI","210",0,"B2","034",630.1495,43.689,50.504,47.0965
"NI_210N_0P_B3_035","NI","210",0,"B3","035",511.7875,26.692,38.753,32.7225
"NI_210N_7.5P_B4_036","NI","210",7.5,"B4","036",244.606,20.702,24.882,22.792
"NI_210N_7.5P_B1_037","NI","210",7.5,"B1","037",1047.6245,149.121,166.662,157.8915
"NI_210N_7.5P_B2_038","NI","210",7.5,"B2","038",945.845,155.631,189.139,172.385
"NI_210N_7.5P_B3_039","NI","210",7.5,"B3","039",640.2445,49.781,54.822,52.3015
"NI_210N_7.5P_B4_040","NI","210",7.5,"B4","040",557.2525,37.507,44.148,40.8275
"NI_210N_15P_B1_041","NI","210",15,"B1","041",NA,NA,NA,NA
"NI_210N_15P_B2_042","NI","210",15,"B2","042",417.9145,31.528,40.755,36.1415
"NI_210N_15P_B3_043","NI","210",15,"B3","043",595.5245,32.913,44.79,38.8515
"NI_210N_15P_B4_044","NI","210",15,"B4","044",599.647,47.247,66.951,57.099
"NI_210N_15P_B1_045","NI","210",15,"B1","045",683.0015,50.156,52.925,51.5405
"NI_210N_31P_B2_046","NI","210",31,"B2","046",802.5205,51.388,41.579,46.4835
"NI_210N_31P_B3_047","NI","210",31,"B3","047",578.663,39.415,43.447,41.431
"NI_210N_31P_B4_048","NI","210",31,"B4","048",575.3625,21.286,26.049,23.6675
"NI_210N_31P_B1_049","NI","210",31,"B1","049",762.7665,49.117,55.374,52.2455
"NI_210N_31P_B2_050","NI","210",31,"B2","050",587.2785,43.639,47.64,45.6395
"NI_210N_62P_B3_051","NI","210",62,"B3","051",NA,NA,NA,NA
"NI_210N_62P_B4_052","NI","210",62,"B4","052",525.8795,47.127,53.326,50.2265
"NI_210N_62P_B1_053","NI","210",62,"B1","053",394.701,10.286,12.688,11.487
"NI_210N_62P_B2_054","NI","210",62,"B2","054",373.88,22.14,31.9,27.02
"NI_210N_62P_B3_055","NI","210",62,"B3","055",346.733,29.866,33.716,31.791
"NI_210N_93P_B4_056","NI","210",93,"B4","056",510.5935,39.974,48.515,44.2445
"NI_210N_93P_B1_057","NI","210",93,"B1","057",398.964,26.357,30.359,28.358
"NI_210N_93P_B2_058","NI","210",93,"B2","058",277.253,21.413,23.589,22.501
"NI_210N_93P_B3_059","NI","210",93,"B3","059",596.393,59.438,68.684,64.061
"NI_210N_93P_B4_060","NI","210",93,"B4","060",398.149,25.813,25.813,25.813
"YI_0N_0P_B2_061","YI","0",0,"B2","061",282.5145,21.477,29.766,25.6215
"YI_0N_0P_B3_062","YI","0",0,"B3","062",470.1995,82.924,106.049,94.4865
"YI_0N_0P_B4_063","YI","0",0,"B4","063",61.116,14.611,18.033,16.322
"YI_0N_0P_B1_064","YI","0",0,"B1","064",48.0765,9.322,11.029,10.1755
"YI_0N_0P_B2_065","YI","0",0,"B2","065",296.4265,23.567,28.644,26.1055
"YI_0N_7.5P_B3_066","YI","0",7.5,"B3","066",18.4055,1.194,1.683,1.4385
"YI_0N_7.5P_B4_067","YI","0",7.5,"B4","067",103.703,6.929,9.873,8.401
"YI_0N_7.5P_B1_068","YI","0",7.5,"B1","068",245.3195,60.857,73.636,67.2465
"YI_0N_7.5P_B2_069","YI","0",7.5,"B2","069",73.019,9.809,12.117,10.963
"YI_0N_7.5P_B3_070","YI","0",7.5,"B3","070",63.7885,10.899,12.42,11.6595
"YI_0N_15P_B4_071","YI","0",15,"B4","071",223.6215,13.952,19.289,16.6205
"YI_0N_15P_B1_072","YI","0",15,"B1","072",102.1085,16.303,19.916,18.1095
"YI_0N_15P_B2_073","YI","0",15,"B2","073",377.8345,70.944,94.739,82.8415
"YI_0N_15P_B3_074","YI","0",15,"B3","074",288.0725,18.47,27.925,23.1975
"YI_0N_15P_B4_075","YI","0",15,"B4","075",112.3215,12.158,17.743,14.9505
"YI_0N_31P_B1_076","YI","0",31,"B1","076",126.9855,12.104,16.513,14.3085
"YI_0N_31P_B2_077","YI","0",31,"B2","077",273.9475,24.118,32.467,28.2925
"YI_0N_31P_B3_078","YI","0",31,"B3","078",406.0955,83.209,97.088,90.1485
"YI_0N_31P_B4_079","YI","0",31,"B4","079",95.8975,15.729,25.196,20.4625
"YI_0N_31P_B1_080","YI","0",31,"B1","080",72.0735,10.132,10.757,10.4445
"YI_0N_62P_B2_081","YI","0",62,"B2","081",17.371,1.649,2.145,1.897
"YI_0N_62P_B3_082","YI","0",62,"B3","082",NA,0.622,0.783,0.7025
"YI_0N_62P_B4_083","YI","0",62,"B4","083",115.013,2.484,2.898,2.691
